cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
ascites,,789,Other symptoms involving abdomen and pelvis,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
gastrointestinal injury,,789,Other symptoms involving abdomen and pelvis,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
abdominal pain,,789,Other symptoms involving abdomen and pelvis,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
infant colic,,789,Other symptoms involving abdomen and pelvis,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
gastrointestinal pain,,789,Other symptoms involving abdomen and pelvis,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
gastric injury,,789,Other symptoms involving abdomen and pelvis,Symptoms,"Symptoms, Signs, And Ill-Defined Conditions"
hyperuricemia,,790,Nonspecific findings on examination of blood,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
hyperglycemia,,790,Nonspecific findings on examination of blood,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
azotemia,,790,Nonspecific findings on examination of blood,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
glucose intolerance,,790,Nonspecific findings on examination of blood,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
proteinuria,,791,Nonspecific findings on examination of urine,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
abnormal urine composition,,791,Nonspecific findings on examination of urine,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
glycosuria,,791,Nonspecific findings on examination of urine,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
dna virus infection,,795,"Other and nonspecific abnormal cytological, histological, immunological and DNA test findings",Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
providencia infection,,796,Other nonspecific abnormal findings,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
fungal respiratory tract infection,,796,Other nonspecific abnormal findings,Nonspecific Abnormal Findings,"Symptoms, Signs, And Ill-Defined Conditions"
cerebral hypoxia,,799,Other ill-defined and unknown causes of morbidity and mortality,Ill-Defined And Unknown Causes Of Morbidity And Mortality,"Symptoms, Signs, And Ill-Defined Conditions"
cachexia,,799,Other ill-defined and unknown causes of morbidity and mortality,Ill-Defined And Unknown Causes Of Morbidity And Mortality,"Symptoms, Signs, And Ill-Defined Conditions"
hypoxia,,799,Other ill-defined and unknown causes of morbidity and mortality,Ill-Defined And Unknown Causes Of Morbidity And Mortality,"Symptoms, Signs, And Ill-Defined Conditions"
emotional lability,,799,Other ill-defined and unknown causes of morbidity and mortality,Ill-Defined And Unknown Causes Of Morbidity And Mortality,"Symptoms, Signs, And Ill-Defined Conditions"
lower limb fracture,,829,Fracture of unspecified bones,Fractures,Injury And Poisoning
traumatic brain injury,,854,Intracranial injury of other and unspecified nature,"Intracranial Injury, Excluding Those With Skull Fracture",Injury And Poisoning
lung malformation,,861,Injury to heart and lung,"Internal Injury Of Thorax, Abdomen, And Pelvis",Injury And Poisoning
lung injury,,861,Injury to heart and lung,"Internal Injury Of Thorax, Abdomen, And Pelvis",Injury And Poisoning
heart injury,,861,Injury to heart and lung,"Internal Injury Of Thorax, Abdomen, And Pelvis",Injury And Poisoning
liver injury,,864,Injury to liver,"Internal Injury Of Thorax, Abdomen, And Pelvis",Injury And Poisoning
nervous system injury,,907,Late effects of injuries to the nervous system,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes",Injury And Poisoning
corneal injury,,918,Superficial injury of eye and adnexa,Superficial Injury,Injury And Poisoning
blister,,919,"Superficial injury of other, multiple, and unspecified sites",Superficial Injury,Injury And Poisoning
skin injury,,919,"Superficial injury of other, multiple, and unspecified sites",Superficial Injury,Injury And Poisoning
ocular injury,,921,Contusion of eye and adnexa,Contusion With Intact Skin Surface,Injury And Poisoning
contusion,,924,Contusion of lower limb and of other and unspecified sites,Contusion With Intact Skin Surface,Injury And Poisoning
skin burns,,944,Burn of wrist(s) and hand(s),Burns,Injury And Poisoning
thermal injury,,949,"Burn, unspecified",Burns,Injury And Poisoning
spinal cord injury,,952,Spinal cord injury without evidence of spinal bone injury,Injury To Nerves And Spinal Cord,Injury And Poisoning
spinal injury,,952,Spinal cord injury without evidence of spinal bone injury,Injury To Nerves And Spinal Cord,Injury And Poisoning
nerve injury,,955,Injury to peripheral nerve(s) of shoulder girdle and upper limb,Injury To Nerves And Spinal Cord,Injury And Poisoning
injury,,959,"Injury, other and unspecified",Certain Traumatic Complications And Unspecified Injuries,Injury And Poisoning
head injury,,959,"Injury, other and unspecified",Certain Traumatic Complications And Unspecified Injuries,Injury And Poisoning
brain injury,,959,"Injury, other and unspecified",Certain Traumatic Complications And Unspecified Injuries,Injury And Poisoning
knee injury,,959,"Injury, other and unspecified",Certain Traumatic Complications And Unspecified Injuries,Injury And Poisoning
anticoagulant overdose,,964,Poisoning by agents primarily affecting blood constituents,"Poisoning By Drugs, Medicinal And Biological Substances",Injury And Poisoning
paracetamol overdose,,965,"Poisoning by analgesics, antipyretics, and antirheumatics","Poisoning By Drugs, Medicinal And Biological Substances",Injury And Poisoning
drug overdose,,968,Poisoning by other central nervous system depressants and anesthetics,"Poisoning By Drugs, Medicinal And Biological Substances",Injury And Poisoning
digoxin overdose,,972,Poisoning by agents primarily affecting the cardiovascular system,"Poisoning By Drugs, Medicinal And Biological Substances",Injury And Poisoning
poison intoxication,,977,Poisoning by other and unspecified drugs and medicinal substances,"Poisoning By Drugs, Medicinal And Biological Substances",Injury And Poisoning
metal intoxication,,985,Toxic effect of other metals,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,Injury And Poisoning
heavy metal poisoning,,985,Toxic effect of other metals,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,Injury And Poisoning
hyperoxia,,987,"Toxic effect of other gases, fumes, or vapors",Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,Injury And Poisoning
gas poisoning,,987,"Toxic effect of other gases, fumes, or vapors",Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,Injury And Poisoning
toxicity,,989,"Toxic effect of other substances, chiefly nonmedicinal as to source",Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,Injury And Poisoning
radiation sickness,,990,"Effects of radiation, unspecified",Other And Unspecified Effects Of External Causes,Injury And Poisoning
radiotherapy induced emesis,,990,"Effects of radiation, unspecified",Other And Unspecified Effects Of External Causes,Injury And Poisoning
hypothermia,,991,Effects of reduced temperature,Other And Unspecified Effects Of External Causes,Injury And Poisoning
motion sickness,,994,Effects of other external causes,Other And Unspecified Effects Of External Causes,Injury And Poisoning
allergy,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
sepsis,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
chemotherapy-induced emesis,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
hyperthermia,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
hypersensitivity,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
angioedema,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
neurotoxicity drug-induced,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
skin allergy,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
delayed hypersensitivity,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
acinetobacter infection,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
malignant hyperthermia,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
general anesthesia,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
systemic inflammatory response syndrome,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
food hypersensitivity,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
peanut hypersensitivity,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
egg hypersensitivity,,995,Certain adverse effects not elsewhere classified,Other And Unspecified Effects Of External Causes,Injury And Poisoning
transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
ocular inflammation,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
renal artery obstruction,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
vascular fistula,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
female contraception,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
vaginal infection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
vascular injury,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
ocular infection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
transplantation,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
heart transplantation,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
heart transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
liver transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
kidney transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
bone marrow transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
lung transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
pancreas transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
serratia marcescens infection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
osteolysis,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
corneal transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
organ transplant rejection,,996,Complications peculiar to certain specified procedures,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",Injury And Poisoning
